+-----------------------+----------------------+
|       Train loss      |   Validation loss    |
+-----------------------+----------------------+
|   1.0734260082244873  | 0.30852827429771423  |
|   0.2293204963207245  |  0.2056194245815277  |
|  0.14866943657398224  | 0.12511301040649414  |
|  0.11733639240264893  | 0.11189431697130203  |
|  0.09853547811508179  | 0.11615388840436935  |
|  0.08661971986293793  |  0.0903484895825386  |
|  0.07767105102539062  | 0.08266489952802658  |
|  0.07035353779792786  |  0.0765974298119545  |
|  0.06423492729663849  | 0.08095762133598328  |
|  0.05943739041686058  | 0.10466526448726654  |
|  0.05481399595737457  | 0.09037670493125916  |
|  0.05103837326169014  | 0.07776416093111038  |
|  0.04850563034415245  |  0.1354222446680069  |
|  0.04483005031943321  | 0.11544112116098404  |
|  0.041805632412433624 | 0.06298544257879257  |
|  0.03933555632829666  | 0.08606600761413574  |
|  0.036983802914619446 | 0.09678588062524796  |
|  0.03459439054131508  | 0.06486491858959198  |
|   0.0320957750082016  |  0.0685669332742691  |
|  0.030407816171646118 | 0.07291467487812042  |
|  0.02857227623462677  | 0.13773953914642334  |
|  0.02702096849679947  | 0.057618606835603714 |
|  0.024753134697675705 | 0.08116889744997025  |
|  0.02306295931339264  | 0.06125537306070328  |
|  0.021854165941476822 | 0.14172761142253876  |
|   0.0203031525015831  | 0.05622456595301628  |
|  0.018720583990216255 | 0.09554556757211685  |
|  0.018155904486775398 | 0.06394782662391663  |
|  0.016293678432703018 |  0.1113656684756279  |
|  0.015324884094297886 | 0.07042928040027618  |
|  0.01425009686499834  | 0.11613054573535919  |
|  0.013191021047532558 | 0.08146017044782639  |
|  0.011953701265156269 | 0.07351865619421005  |
|  0.011743191629648209 | 0.08560046553611755  |
|  0.010821452364325523 |  0.0774853527545929  |
|  0.00961438100785017  | 0.08847031742334366  |
|  0.008619524538516998 | 0.07282202690839767  |
|  0.008012905716896057 |  0.0821664035320282  |
|  0.007759325671941042 | 0.07371427863836288  |
| 0.0069360691122710705 |  0.3226836621761322  |
|  0.005506867542862892 | 0.08460477739572525  |
|  0.005505993962287903 | 0.07772034406661987  |
|  0.005223343148827553 | 0.11324374377727509  |
|  0.004195166286081076 | 0.13033536076545715  |
| 0.0043319049291312695 | 0.07861307263374329  |
|  0.004103309940546751 | 0.10358893126249313  |
| 0.0038055269978940487 | 0.07678940147161484  |
| 0.0028406032361090183 | 0.07046880573034286  |
| 0.0030905811581760645 | 0.08632968366146088  |
|  0.002657767152413726 | 0.08485975116491318  |
+-----------------------+----------------------+
