+--------------------+---------------------+
|   Train accuracy   | Validation accuracy |
+--------------------+---------------------+
| 0.7589402794837952 |  0.9211059212684631 |
| 0.9388031959533691 |  0.9386386275291443 |
| 0.955299973487854  |  0.9639801979064941 |
| 0.9644298553466797 |  0.9660852551460266 |
| 0.9684204459190369 |  0.9623565673828125 |
| 0.9731524586677551 |  0.9741954803466797 |
| 0.9764513969421387 |  0.9760704040527344 |
| 0.9790998697280884 |  0.9765154123306274 |
| 0.9789435267448425 |  0.9753506779670715 |
| 0.9820874333381653 |   0.9678995013237   |
| 0.9824392199516296 |  0.9713465571403503 |
| 0.9840379953384399 |  0.9771629571914673 |
| 0.9843921661376953 |  0.9566832184791565 |
| 0.9855808615684509 |  0.9645405411720276 |
| 0.9864884614944458 |  0.9813737869262695 |
| 0.9874430298805237 |  0.9736030697822571 |
| 0.9887174367904663 |  0.9695655703544617 |
| 0.9887874126434326 |  0.9802544713020325 |
| 0.9897305965423584 |  0.9793848991394043 |
| 0.9893743991851807 |  0.9776679277420044 |
| 0.991454005241394  |  0.9610252380371094 |
| 0.990483820438385  |  0.9828430414199829 |
| 0.9927374720573425 |  0.9764665365219116 |
| 0.9932016730308533 |  0.9828925132751465 |
| 0.9934465885162354 |  0.9577843546867371 |
| 0.9937343001365662 |  0.9845473170280457 |
| 0.9941860437393188 |  0.9727343320846558 |
| 0.9948751330375671 |  0.9814454317092896 |
| 0.9947599768638611 |  0.9652026295661926 |
| 0.9939225316047668 |  0.9797060489654541 |
| 0.9952396154403687 |  0.9696521162986755 |
| 0.9957051277160645 |  0.9754055738449097 |
| 0.9962429404258728 |  0.9787153601646423 |
| 0.9960904121398926 |  0.9770510792732239 |
| 0.9964264035224915 |  0.9784283638000488 |
| 0.9968727827072144 |  0.9738240838050842 |
| 0.9964072108268738 |  0.9791508316993713 |
| 0.9979391098022461 |  0.9794303774833679 |
| 0.9973446130752563 |  0.9797610640525818 |
| 0.9986631274223328 |  0.9226508140563965 |
| 0.9981319904327393 |  0.9777036309242249 |
| 0.998349130153656  |  0.9798494577407837 |
| 0.9976989030838013 |  0.9698440432548523 |
| 0.9977973103523254 |  0.967723548412323  |
| 0.9972548484802246 |  0.9799953699111938 |
| 0.9972648024559021 |  0.9734315872192383 |
| 0.9980406165122986 |  0.9808520078659058 |
| 0.9986240863800049 |  0.9825441837310791 |
| 0.9982777237892151 |  0.979600191116333  |
| 0.9987502694129944 |  0.9808436632156372 |
+--------------------+---------------------+
